Unit ID,English_Sen,Arabic_Sen,Franco
4703,"Cabana For Sale In D Bay 50 SQM, with bedroom and bathroom, priced at 17910000 in El Dabaa","كبينة للبيع في دي باي 50 متر ب أوضة و حمام, بسعر 17910000 في الضبعة",kbyna lilbi3 fi dy bey 50 mtr b 2wda w hamam bs3r 17910000 fi aldb3a
4702,"Duplex For Sale In Garnet Residence 321 SQM, with 3 bedrooms and 4 bathrooms, priced at 30274532 in New Cairo","دوبلكس للبيع في جارنت ريزيدنس 321 متر ب 3 أوض و 4 حمامات, بسعر 30274532 في القاهرة الجديدة",dwblks lilbi3 fi garnt ryzydns 321 mtr b 3 2wd w 4 hamamet bs3r 30274532 fi al2ahra ejadida
4701,"Exclusive Villa For Sale In the Wonder MarQ 500 SQM, with 5 bedrooms and 6 bathrooms, priced at 86200000 in Madinaty","فيلا مستقلة للبيع في ذا وندر مارك 500 متر ب 5 أوض و 6 حمامات, بسعر 86200000 في ماديناتي",fyla mostakilla lilbi3 fi dha wndr mark 500 mtr b 5 2wd w 6 hamamet bs3r 86200000 fi madynaty
4700,"36 SQM, with bedroom and bathroom, priced at 3189375 in Madinaty","مكتب إداري للبيع في مجمع ابيكس التجاري 36 متر ب أوضة و حمام, بسعر 3189375 في ماديناتي",makteb 2dary lilbi3 fi mgm3 abyks altgary 36 mtr b 2wda w hamam bs3r 3189375 fi madynaty
4699,"Retail For Sale In Apex Business Complex 36 SQM, with bedroom and bathroom, priced at 5315625 in Madinaty","محل تجاري للبيع في مجمع ابيكس التجاري 36 متر ب أوضة و حمام, بسعر 5315625 في ماديناتي",mahal tjari lilbi3 fi mgm3 abyks altgary 36 mtr b 2wda w hamam bs3r 5315625 fi madynaty
4698,"Pharmacy For Sale In Apex Business Complex 79 SQM, with bedroom and bathroom, priced at 23329687 in Madinaty","صيدلية للبيع في مجمع ابيكس التجاري 79 متر ب أوضة و حمام, بسعر 23329687 في ماديناتي",sydlya lilbi3 fi mgm3 abyks altgary 79 mtr b 2wda w hamam bs3r 23329687 fi madynaty
4697,"Penthouse For Sale In Edge 674 SQM, with 5 bedrooms and 8 bathrooms, priced at 292863000 in New Cairo","بنت هاوس للبيع فى ايدج بمساحة 674 متر ب 5 أوض و 8 حمامات, بسعر 292863000 في القاهرة الجديدة",bint haws lilbi3 fi aydg bmsa7a 674 mtr b 5 2wd w 8 hamamet bs3r 292863000 fi al2ahra ejadida
4696,"Penthouse For Sale In Edge 630 SQM, with 5 bedrooms and 8 bathrooms, priced at 209820000 in New Cairo","بنت هاوس للبيع فى ايدج بمساحة 630 متر ب 5 أوض و 8 حمامات, بسعر 209820000 في القاهرة الجديدة",bint haws lilbi3 fi aydg bmsa7a 630 mtr b 5 2wd w 8 hamamet bs3r 209820000 fi al2ahra ejadida
4695,"Twinhouse For Sale In Vaha 248 SQM, with 3 bedrooms and 4 bathrooms, priced at 21500000 in Mostakbal City","توين هاوس للبيع فى فاها بمساحة 248 متر ب 3 أوض و 4 حمامات, بسعر 21500000 في مدينة المستقبل",twyn haws lilbi3 fi fiha bmsa7a 248 mtr b 3 2wd w 4 hamamet bs3r 21500000 fi madina elmostakbel
4694,"Townhouse For Sale In Vaha 236 SQM, with 4 bedrooms and 4 bathrooms, priced at 18750777 in Mostakbal City","تاون هاوس للبيع فى فاها بمساحة 236 متر ب 4 أوض و 4 حمامات, بسعر 18750777 في مدينة المستقبل",tawn haws lilbi3 fi fiha bmsa7a 236 mtr b 4 2wd w 4 hamamet bs3r 18750777 fi madina elmostakbel
