Unit ID,English_Sen,Arabic_Sen
4635,"Penthouse For Sale In The lark Residence 115 SQM, with 2 bedrooms and 2 bathrooms, priced at 6525000 in Madinaty","بنت هاوس للبيع فى ذا لارك ريسدنس بمساحة 115 متر ب أوضتين و حمامين, بسعر 6525000 في ماديناتي"
4703,"Cabana For Sale In D Bay 50 SQM, with bedroom and bathroom, priced at 17910000 in El Dabaa","كبينة للبيع في دي باي 50 متر ب أوضة و حمام, بسعر 17910000 في الضبعة"
4702,"Duplex For Sale In Garnet Residence 321 SQM, with 3 bedrooms and 4 bathrooms, priced at 30274532 in New Cairo","دوبلكس للبيع في جارنت ريزيدنس 321 متر ب 3 أوض و 4 حمامات, بسعر 30274532 في القاهرة الجديدة"
4701,"Exclusive Villa For Sale In the Wonder MarQ 500 SQM, with 5 bedrooms and 6 bathrooms, priced at 86200000 in Madinaty","فيلا مستقلة للبيع في ذا وندر مارك 500 متر ب 5 أوض و 6 حمامات, بسعر 86200000 في ماديناتي"
4700,"36 SQM, with bedroom and bathroom, priced at 3189375 in Madinaty","مكتب إداري للبيع في مجمع ابيكس التجاري 36 متر ب أوضة و حمام, بسعر 3189375 في ماديناتي"
4699,"Retail For Sale In Apex Business Complex 36 SQM, with bedroom and bathroom, priced at 5315625 in Madinaty","محل تجاري للبيع في مجمع ابيكس التجاري 36 متر ب أوضة و حمام, بسعر 5315625 في ماديناتي"
4698,"Pharmacy For Sale In Apex Business Complex 79 SQM, with bedroom and bathroom, priced at 23329687 in Madinaty","صيدلية للبيع في مجمع ابيكس التجاري 79 متر ب أوضة و حمام, بسعر 23329687 في ماديناتي"
4697,"Penthouse For Sale In Edge 674 SQM, with 5 bedrooms and 8 bathrooms, priced at 292863000 in New Cairo","بنت هاوس للبيع فى ايدج بمساحة 674 متر ب 5 أوض و 8 حمامات, بسعر 292863000 في القاهرة الجديدة"
4696,"Penthouse For Sale In Edge 630 SQM, with 5 bedrooms and 8 bathrooms, priced at 209820000 in New Cairo","بنت هاوس للبيع فى ايدج بمساحة 630 متر ب 5 أوض و 8 حمامات, بسعر 209820000 في القاهرة الجديدة"
4695,"Twinhouse For Sale In Vaha 248 SQM, with 3 bedrooms and 4 bathrooms, priced at 21500000 in Mostakbal City","توين هاوس للبيع فى فاها بمساحة 248 متر ب 3 أوض و 4 حمامات, بسعر 21500000 في مدينة المستقبل"
4694,"Townhouse For Sale In Vaha 236 SQM, with 4 bedrooms and 4 bathrooms, priced at 18750777 in Mostakbal City","تاون هاوس للبيع فى فاها بمساحة 236 متر ب 4 أوض و 4 حمامات, بسعر 18750777 في مدينة المستقبل"
